Time(s),Vc(V),Current_Charge(A)
0.0000,0.0000,3.0000
0.0500,1.4274,2.7145
0.1000,2.7190,2.4562
0.1500,3.8877,2.2225
0.2000,4.9452,2.0110
0.2500,5.9020,1.8196
0.3000,6.7678,1.6464
0.3500,7.5512,1.4898
0.4000,8.2601,1.3480
0.4500,8.9015,1.2197
0.5000,9.4818,1.1036
0.5500,10.0069,0.9986
0.6000,10.4821,0.9036
0.6500,10.9120,0.8176
0.7000,11.3010,0.7398
0.7500,11.6530,0.6694
0.8000,11.9716,0.6057
0.8500,12.2597,0.5481
0.9000,12.5205,0.4959
0.9500,12.7565,0.4487
1.0000,12.9700,0.4060
1.0500,13.1632,0.3674
1.1000,13.3380,0.3324
1.1500,13.4961,0.3008
1.2000,13.6392,0.2722
1.2500,13.7687,0.2463
1.3000,13.8859,0.2228
1.3500,13.9919,0.2016
1.4000,14.0878,0.1824
1.4500,14.1747,0.1651
1.5000,14.2532,0.1494
1.5500,14.3243,0.1351
1.6000,14.3886,0.1223
1.6500,14.4468,0.1106
1.7000,14.4994,0.1001
1.7500,14.5470,0.0906
1.8000,14.5901,0.0820
1.8500,14.6291,0.0742
1.9000,14.6644,0.0671
1.9500,14.6964,0.0607
2.0000,14.7253,0.0549
2.0500,14.7514,0.0497
2.1000,14.7751,0.0450
2.1500,14.7965,0.0407
2.2000,14.8158,0.0368
2.2500,14.8334,0.0333
2.3000,14.8492,0.0302
2.3500,14.8636,0.0273
2.4000,14.8766,0.0247
2.4500,14.8883,0.0223
2.5000,14.8989,0.0202
2.5500,14.9085,0.0183
2.6000,14.9173,0.0165
2.6500,14.9251,0.0150
2.7000,14.9323,0.0135
2.7500,14.9387,0.0123
2.8000,14.9445,0.0111
2.8500,14.9498,0.0100
2.9000,14.9546,0.0091
2.9500,14.9589,0.0082
3.0000,14.9628,0.0074
3.0500,14.9664,0.0067
3.1000,14.9696,0.0061
3.1500,14.9725,0.0055
3.2000,14.9751,0.0050
3.2500,14.9774,0.0045
3.3000,14.9796,0.0041
3.3500,14.9815,0.0037
3.4000,14.9833,0.0033
3.4500,14.9849,0.0030
3.5000,14.9863,0.0027
3.5500,14.9876,0.0025
3.6000,14.9888,0.0022
3.6500,14.9899,0.0020
3.7000,14.9908,0.0018
3.7500,14.9917,0.0017
3.8000,14.9925,0.0015
3.8500,14.9932,0.0014
3.9000,14.9939,0.0012
3.9500,14.9944,0.0011
4.0000,14.9950,0.0010
